Timestamp               Ty Process[PID:TID]
2026-09-07 15:20:34.730 E  kernel[0:2178a2a] [com.apple.sandbox.reporting:violation] Sandbox: lldb(86108) deny(1) file-write-data /dev/dtracehelper
2026-09-07 15:20:34.732 E  kernel[0:21788f7] [com.apple.sandbox.reporting:violation] Sandbox: lldb(86108) deny(1) mach-lookup com.apple.system.opendirectoryd.membership
2026-09-07 15:20:34.732 E  kernel[0:217825b] [com.apple.sandbox.reporting:violation] Sandbox: lldb(86108) deny(1) mach-lookup com.apple.logd
2026-09-07 15:20:34.733 E  kernel[0:2178a2a] [com.apple.sandbox.reporting:violation] Sandbox: lldb(86108) deny(1) ipc-posix-shm-read-data apple.shm.notification_center
2026-09-07 15:20:34.745 E  kernel[0:2178a2b] [com.apple.sandbox.reporting:violation] 1 duplicate report for Sandbox: lldb(86108) deny(1) ipc-posix-shm-read-data apple.shm.notification_center
2026-09-07 15:20:34.745 E  kernel[0:2178a2b] [com.apple.sandbox.reporting:violation] Sandbox: lldb(86108) deny(1) file-write-data /dev/dtracehelper
2026-09-07 15:20:34.748 E  kernel[0:21788f7] [com.apple.sandbox.reporting:violation] Sandbox: lldb(86108) deny(1) mach-lookup com.apple.logd
2026-09-07 15:20:34.748 E  kernel[0:2178a2b] [com.apple.sandbox.reporting:violation] Sandbox: lldb(86108) deny(1) ipc-posix-shm-read-data apple.shm.notification_center
2026-09-07 15:20:34.749 E  kernel[0:217825b] [com.apple.sandbox.reporting:violation] Sandbox: lldb(86108) deny(1) mach-lookup com.apple.analyticsd
2026-09-07 15:20:34.751 E  kernel[0:2178a2b] [com.apple.sandbox.reporting:violation] Sandbox: lldb(86108) deny(1) ipc-posix-shm-read-data apple.shm.notification_center
2026-09-07 15:20:34.771 E  kernel[0:217825b] [com.apple.sandbox.reporting:violation] 1 duplicate report for Sandbox: lldb(86108) deny(1) ipc-posix-shm-read-data apple.shm.notification_center
2026-09-07 15:20:34.771 E  kernel[0:217825b] [com.apple.sandbox.reporting:violation] Sandbox: lldb(86108) deny(1) mach-lookup com.apple.system.opendirectoryd.membership
2026-09-07 15:20:34.777 E  kernel[0:2178a2b] [com.apple.sandbox.reporting:violation] 5 duplicate reports for Sandbox: lldb(86108) deny(1) mach-lookup com.apple.system.opendirectoryd.membership
2026-09-07 15:20:34.777 E  kernel[0:2178a2b] [com.apple.sandbox.reporting:violation] Sandbox: lldb(86108) deny(1) ipc-posix-shm-read-data apple.shm.notification_center
2026-09-07 15:20:34.777 E  kernel[0:21788f7] [com.apple.sandbox.reporting:violation] 3 duplicate reports for Sandbox: lldb(86108) deny(1) ipc-posix-shm-read-data apple.shm.notification_center
2026-09-07 15:20:34.777 E  kernel[0:21788f7] [com.apple.sandbox.reporting:violation] Sandbox: lldb(86108) deny(1) mach-lookup com.apple.system.opendirectoryd.libinfo
2026-09-07 15:20:34.779 E  kernel[0:217825b] [com.apple.sandbox.reporting:violation] 2 duplicate reports for Sandbox: lldb(86108) deny(1) mach-lookup com.apple.system.opendirectoryd.libinfo
2026-09-07 15:20:34.779 E  kernel[0:217825b] [com.apple.sandbox.reporting:violation] Sandbox: lldb(86108) deny(1) mach-lookup com.apple.distributed_notifications@Uv3
2026-09-07 15:20:34.780 E  kernel[0:217825b] [com.apple.sandbox.reporting:violation] Sandbox: lldb(86108) deny(1) mach-lookup com.apple.metadata.mds
2026-09-07 15:20:34.780 E  kernel[0:2178a30] [com.apple.sandbox.reporting:violation] Sandbox: lldb(86108) deny(1) ipc-posix-shm-read-data apple.shm.notification_center
2026-09-07 15:20:34.823 E  kernel[0:2178a3d] [com.apple.sandbox.reporting:violation] Sandbox: debugserver(86111) deny(1) file-write-data /dev/dtracehelper
2026-09-07 15:20:34.824 E  kernel[0:217825b] [com.apple.sandbox.reporting:violation] Sandbox: debugserver(86111) deny(1) mach-lookup com.apple.logd
2026-09-07 15:20:34.824 E  kernel[0:2178a3d] [com.apple.sandbox.reporting:violation] Sandbox: debugserver(86111) deny(1) ipc-posix-shm-read-data apple.shm.notification_center
2026-09-07 15:20:34.825 E  kernel[0:217825b] [com.apple.sandbox.reporting:violation] 4 duplicate reports for Sandbox: debugserver(86111) deny(1) ipc-posix-shm-read-data apple.shm.notification_center
2026-09-07 15:20:34.825 E  kernel[0:217825b] [com.apple.sandbox.reporting:violation] Sandbox: debugserver(86111) deny(1) mach-lookup com.apple.system.opendirectoryd.libinfo
2026-09-07 15:20:34.827 E  kernel[0:2178a3d] [com.apple.sandbox.reporting:violation] 2 duplicate reports for Sandbox: debugserver(86111) deny(1) mach-lookup com.apple.system.opendirectoryd.libinfo
2026-09-07 15:20:34.827 E  kernel[0:2178a3d] [com.apple.sandbox.reporting:violation] Sandbox: debugserver(86111) deny(1) mach-priv-task-port same-sandbox [ls-c-test(86110)]
2026-09-07 15:20:36.430 E  kernel[0:20e8986] [com.apple.sandbox.reporting:violation] 9 duplicate reports for Sandbox: debugserver(86111) deny(1) mach-priv-task-port same-sandbox [ls-c-test(86110)]
